id_cliente,nombre,edad,ciudad,ingresos
1,Aloysia Screase,44,Mar del Plata,42294.68
2,Kristina Scaplehorn,25,Posadas,24735.04
3,Filip Castagne,50,Resistencia,35744.85
4,Liuka Luard,39,Bahía Blanca,27647.96
5,Dore Cockshtt,28,Rosario,28245.65
6,Patrick Earle,34,San Miguel de Tucumán,62763.31
7,Etan Deeth,35,Resistencia,37489.71
8,Booth Bielfelt,40,Córdoba,35255.94
9,Shirl Labone,29,Rosario,27592.08
10,Andy Mendenhall,52,Rosario,37153.94
11,Hans Strong,69,Resistencia,35596.27
12,Griffith Lowey,27,Corrientes,41862.78
13,Hadria Hinkensen,33,San Miguel de Tucumán,56171.38
14,Ilyssa Arden,52,Resistencia,14690.68
15,Denni Dhillon,27,Resistencia,42168.75
16,Garrott Bogart,32,Rosario,16480.55
17,Minor Josephy,28,Santa Fe,47018.78
18,Marylynne Piner,47,Rosario,32826.37
19,Cari Marzellano,38,Mar del Plata,53114.05
20,Magdalene Pegg,34,Córdoba,49849.42
21,Lorry Santori,47,Corrientes,42000.81
22,Gertrude La Wille,44,Merlo,9085.92
23,Audrye Fairbeard,40,Santa Fe,46734.23
24,Merle Musslewhite,33,Salta,39770.63
25,Lola Hansie,44,Santa Fe,25917.58
26,Darelle Errett,47,Salta,27928.46
27,Marianna Lossman,36,Córdoba,36720.12
28,Charmaine Vanin,37,Santa Fe,33220.06
29,Paul Perrott,34,Mar del Plata,41813.93
30,Tedi O'Shiel,32,Bahía Blanca,44137.9
31,Merv Brislan,35,Mar del Plata,21063.82
32,Winnifred Edland,35,San Miguel de Tucumán,54193.68
33,Bevin Keenor,28,Resistencia,33986.78
34,Tomaso Murname,35,Mar del Plata,28615.26
35,Carmelia Bunn,52,Rosario,27136.93
36,Karie Premble,44,Posadas,52128.76
37,Maurice Pelling,26,Corrientes,25838.89
38,Clotilda Abilowitz,57,Posadas,42757.46
39,Ginger Askaw,36,Salta,36779.95
40,Sallie Stubbe,37,Bahía Blanca,28333.21
41,Viki Sottell,31,Mar del Plata,43388.14
42,Frazer Wooding,30,Bahía Blanca,39243.17
43,Beverie Vassman,41,Salta,30237.01
44,Yettie Fritchley,37,Merlo,29665.37
45,Eloise McPaik,36,San Miguel de Tucumán,20234.81
46,Gray Brede,30,Buenos Aires,20880.07
47,Mirella Dryburgh,27,Córdoba,29914.53
48,Herrick Wagen,20,Corrientes,25017.77
49,Dyanna Jimpson,51,Corrientes,39132.63
50,Sephira Risen,48,Santa Fe,31056.32
51,Chaunce Squirrel,43,Posadas,39896.32
52,Carly Tootell,37,Buenos Aires,7901.16
53,Brigid Mainds,26,Córdoba,45641.94
54,Marnie Patrick,38,Merlo,37690.42
55,Dante Rusk,29,San Miguel de Tucumán,19065.49
56,Myrna Branchett,35,San Miguel de Tucumán,3603.65
57,Carey Moppett,48,Bahía Blanca,61296.09
58,Phillipp Litster,45,Posadas,30978.96
59,Linea Colbridge,45,Corrientes,30800.4
60,Andromache Bauer,59,Resistencia,60027.71
61,Domenico Chamberlain,29,Córdoba,33894.6
62,Renee Cahani,34,Santa Fe,49215.7
63,Kimberli Stiddard,29,Corrientes,51773.22
64,Alison Ianizzi,54,Salta,37077.23
65,Greer Goldster,34,Salta,46549.39
66,Mohandas Pickworth,34,Mar del Plata,27487.51
67,Humphrey Nertney,25,Santa Fe,33401.67
68,Agustin Bofield,30,Santa Fe,57501.45
69,Georgia Jeannot,48,Posadas,27271.1
70,Beth Igo,35,Rosario,46525.97
71,Aindrea Winter,50,Córdoba,31514.23
72,Callie Curner,37,Córdoba,35486.9
73,Clayborne Lipgens,33,Posadas,53758.89
74,Hadrian Sugg,24,Corrientes,22895.21
75,Kassandra Oland,55,Merlo,19996.54
76,Fionnula Antoniutti,32,Corrientes,8756.53
77,Silvanus Keer,23,Merlo,34822.1
78,Haley Ewbanks,38,Salta,35205.04
79,Drusi Seven,32,Corrientes,37982.47
80,Cortney Stetson,43,Buenos Aires,50757.4
81,Kendall Androsik,45,Rosario,43948.65
82,Muffin Stather,30,Rosario,46088.54
83,Mindy Bootes,26,Rosario,19009.84
84,Eloisa Hawick,36,Santa Fe,36720.12
85,Welby Zealander,34,Corrientes,29249.16
86,Puff Caig,34,Posadas,36166.55
87,Jaquith De Goey,30,San Miguel de Tucumán,25454.48
88,Lorrie Charles,32,Salta,34918.69
89,Liana Goldstone,40,Corrientes,45912.27
90,Obed Cosham,37,Rosario,50428.21
91,Reynold Aspray,38,Merlo,170.29
92,Sybyl Frise,45,Buenos Aires,45332.69
93,Crystie Demschke,45,Buenos Aires,26609.66
94,Jessalyn Dennistoun,37,Córdoba,27997.26
95,Laney Glewe,36,Posadas,56357.47
96,El Garbett,27,Mar del Plata,30800.52
97,Ag Ifill,40,Resistencia,45503.54
98,Maje Stummeyer,41,Resistencia,53904.28
99,Belicia Ridewood,35,Santa Fe,21186.8
100,Robinetta Erik,23,Posadas,22560.67
101,Lawry Whillock,29,Merlo,40299.38
102,Kathi Privost,42,Salta,46129.47
103,Hanson Lum,33,San Miguel de Tucumán,40501.49
104,Adolphus Morton,24,Posadas,31111.35
105,Quent Amps,25,Merlo,36251.4
106,Kizzie Carloni,37,Bahía Blanca,38639.35
107,Ellen Cadge,38,Bahía Blanca,23557.54
108,Branden Mabe,25,Mar del Plata,23295.13
109,Connor Frango,46,Buenos Aires,47539.84
110,Stephie MacKeig,28,Mar del Plata,25378.01
111,Sherrie Gregoratti,39,Mar del Plata,50329.71
112,Wildon Newsham,26,Posadas,37853.92
113,Genevieve Vasler,42,Corrientes,33190.45
114,Theodosia Merryweather,50,Rosario,44847.82
115,Diandra Longcake,65,Corrientes,45292.27
116,Gabrielle Napolitano,29,Merlo,39892.04
117,Rina Pethick,36,Posadas,28312.38
118,Brigitte Houlden,53,San Miguel de Tucumán,30953.38
119,Lucien Douris,39,Merlo,41134.58
120,Pollyanna Whittlesey,47,Salta,19878.28
121,Pernell Paffley,26,Rosario,55701.93
122,Sebastiano Salla,25,Salta,58142.4
123,Mattie Humpherston,35,San Miguel de Tucumán,23801.33
124,Bebe Esilmon,29,Bahía Blanca,17134.31
125,Bennie O'Regan,40,Resistencia,60645.26
126,Drusy Grgic,48,Buenos Aires,36611.51
127,Anatole Bahde,48,Córdoba,38860.1
128,Lacie Cline,81,Salta,16595.3
129,Dave Bosson,36,Bahía Blanca,38074.11
130,Lynne Linkie,42,Rosario,27663.59
131,Brittan Caughte,28,Posadas,17294.42
132,Trstram Troughton,43,Córdoba,57931.42
133,Arleta Pennigar,36,Córdoba,49554.51
134,Florida Ruter,31,Salta,36251.4
135,Giffer Hinstock,28,Córdoba,31190.27
136,Bern Tregian,32,San Miguel de Tucumán,31384.95
137,Devi Goalley,29,Merlo,34610.42
138,Melany Janiak,39,Resistencia,26757.8
139,Risa Playhill,43,Posadas,34357.86
140,Joye Costley,24,Merlo,55323.78
141,Scot Graben,54,Rosario,29351.15
142,Rodrigo Dooland,30,Corrientes,29492.94
143,Doug Provost,25,Mar del Plata,29935.39
144,Elyn Hiorn,39,Santa Fe,14548.46
145,Sara Riby,48,Salta,17874.07
146,Jameson Riccione,37,Buenos Aires,16306.0
147,Duke Tonner,52,Posadas,18170.77
148,Brigid Ickowicz,32,Buenos Aires,48338.08
149,Allissa Napleton,50,Corrientes,34753.74
150,Jaclyn Crepin,56,Corrientes,23760.91
151,Hedwiga Spanton,52,Mar del Plata,33508.69
152,Humberto Kanzler,27,Salta,28131.39
153,Orton Minkin,29,Buenos Aires,46031.85
154,My de'-Ancy Willis,43,Rosario,33105.01
155,Dosi Groger,30,Córdoba,56809.04
156,Walden Kordt,47,Resistencia,60647.99
157,Westbrook O'Caherny,25,Santa Fe,29982.55
158,Electra Shilston,35,Posadas,786.77
159,Fabian Chancelier,46,Rosario,37220.19
160,Holly-anne Whymark,43,Mar del Plata,30588.42
161,Francis Killby,37,Corrientes,35931.21
162,Romeo Harbar,24,Santa Fe,37492.73
163,Teddie Massimo,44,Santa Fe,42297.5
164,Sheffie Ford,27,Posadas,45087.63
165,Ilise Manjin,24,Córdoba,41323.69
166,Barry Ramsby,35,Posadas,35156.97
167,Emilie Alforde,32,Merlo,28734.62
168,Rosetta Kennifick,30,Mar del Plata,29631.15
169,Morey Brundell,43,Posadas,36611.51
170,Ogdon Swadlinge,35,Mar del Plata,16313.81
171,Maegan Trillo,62,Mar del Plata,42590.61
172,Bent Isenor,28,Santa Fe,74147.65
173,Elton Aloigi,43,Mar del Plata,27861.85
174,Nelli Yanshonok,45,Merlo,33626.6
175,Judy Gerred,24,Corrientes,58465.86
176,Cosette Baggaley,39,Merlo,27080.31
177,Fransisco Lillo,28,Corrientes,35011.85
178,Helenka Costin,75,Mar del Plata,48611.93
179,Orville Yerby,29,Salta,33637.48
180,Terencio Tyas,44,Mar del Plata,51421.58
181,Celestyna Buddock,45,Santa Fe,21200.95
182,Baldwin Drieu,39,Salta,23533.08
183,Marylinda Gianasi,25,Mar del Plata,37832.38
184,Cello Bentjens,31,Bahía Blanca,40253.67
185,Addy Lattos,46,Córdoba,41370.58
186,Toddie Renals,58,San Miguel de Tucumán,49518.43
187,Franni Whitlaw,29,Posadas,30400.08
188,D'arcy Creak,42,Buenos Aires,36868.84
189,Kay Dradey,43,Córdoba,34537.66
190,Drugi Doumenc,42,Salta,46756.36
191,Gilberte Kivell,55,Mar del Plata,39719.87
192,Shoshanna Verryan,40,Resistencia,6619.38
193,Gonzales Fiddeman,32,Córdoba,18074.87
194,Izzy Lakeland,26,San Miguel de Tucumán,21054.29
195,Brod Spuffard,45,Córdoba,15474.79
196,Jocko Quickfall,41,San Miguel de Tucumán,25257.65
197,Glenna Knibley,20,Salta,47432.89
198,Juliann Keiling,62,Santa Fe,60620.67
199,Orin Frearson,43,Merlo,16807.7
200,Othelia Simonaitis,30,Merlo,43723.37
201,Elset Simko,38,Santa Fe,35096.15
202,Denis Toping,43,Corrientes,36725.7
203,Si Tune,37,Córdoba,36855.07
204,Leroi Weems,32,Rosario,59022.15
205,Wallace Tweedie,29,Mar del Plata,46053.49
206,Olin Pauluzzi,29,Santa Fe,30001.7
207,Lissi Simondson,48,Rosario,39751.41
208,Sherwin Cossell,40,Rosario,40700.9
209,Ephrayim Owens,42,Córdoba,15715.84
210,Stephi Ties,38,Bahía Blanca,39717.6
211,Willow Partrick,29,Córdoba,34691.89
212,Samuel Kornilov,38,Posadas,40651.74
213,Henrie Crassweller,38,Buenos Aires,44275.95
214,Johan Grimston,30,Mar del Plata,41939.22
215,Dinnie Robertelli,71,Merlo,9002.64
216,Elinore Le Leu,50,Mar del Plata,48865.2
217,Ethelred Speakman,33,Mar del Plata,42323.59
218,Hamnet Maberley,38,Posadas,21309.97
219,Raquel Gentile,43,Buenos Aires,32492.98
220,Bruce Hinstock,71,Resistencia,25720.15
221,Michale Rustidge,42,Santa Fe,35596.27
222,Bary Tanner,37,Córdoba,37626.61
223,Poppy Dachs,20,Salta,15907.15
224,Dudley Stallworth,33,Buenos Aires,20196.84
225,Claresta Ateggart,37,Buenos Aires,36097.06
226,Christiana Iglesias,40,Rosario,28337.74
227,Carlene Peek,40,Merlo,48526.08
228,Janette Wakeford,27,Córdoba,27749.95
229,Moritz Wyke,32,Posadas,37113.41
230,Evvie Ravens,45,Posadas,35552.3
231,Hedvig Jirick,33,Resistencia,20628.14
232,Bartholomeus Rigge,41,Resistencia,37030.07
233,Gib Menicomb,45,Mar del Plata,23120.84
234,Enrico Ahrend,42,Buenos Aires,40569.56
235,Rancell Voaden,37,Resistencia,59088.93
236,Dal Tenpenny,50,San Miguel de Tucumán,56600.2
237,Erinn Crotty,41,Mar del Plata,20822.35
238,Alexandra Stapley,29,Salta,20319.72
239,Rosanne Castro,44,Merlo,46222.48
240,Aubrette Maceur,34,Salta,34865.33
241,Glenine Carette,28,Resistencia,31591.9
242,Bellina Bathow,31,Mar del Plata,30899.12
243,Alvis Malcolmson,50,Mar del Plata,31204.77
244,Jenn McKendry,48,Posadas,39426.13
245,Deane Tesche,22,Resistencia,29609.0
